label,item-count,item-key,image
Bonnet Phrygien,1,BonnetPhrygien,https://raw.githubusercontent.com/emazarico/LAnUn/refs/heads/main/images/market_deck/BonnetPhrygien_front.jpeg
Chariot De Grain,2,ChariotDeGrain,https://raw.githubusercontent.com/emazarico/LAnUn/refs/heads/main/images/market_deck/ChariotDeGrain_front.jpeg
Cocarde Tricolore,2,CocardeTricolore,https://raw.githubusercontent.com/emazarico/LAnUn/refs/heads/main/images/market_deck/CocardeTricolore_front.jpeg
Couronne Civique,1,CouronneCivique,https://raw.githubusercontent.com/emazarico/LAnUn/refs/heads/main/images/market_deck/CouronneCivique_front.jpeg
Faisceau,1,Faisceau,https://raw.githubusercontent.com/emazarico/LAnUn/refs/heads/main/images/market_deck/Faisceau_front.jpeg
Laissez-Passer,1,LaissezPasser,https://raw.githubusercontent.com/emazarico/LAnUn/refs/heads/main/images/market_deck/LaissezPasser_front.jpeg
La Presse Imprimerie,1,LaPresseImprimerie,https://raw.githubusercontent.com/emazarico/LAnUn/refs/heads/main/images/market_deck/LaPresseImprimerie_front.jpeg
Loi Du Maximum,1,LoiDuMaximum,https://raw.githubusercontent.com/emazarico/LAnUn/refs/heads/main/images/market_deck/LoiDuMaximum_front.jpeg
Pamphlet Patriotique,2,PamphletPatriotique,https://raw.githubusercontent.com/emazarico/LAnUn/refs/heads/main/images/market_deck/PamphletPatriotique_front.jpeg
Ration De Pain,4,RationDePain,https://raw.githubusercontent.com/emazarico/LAnUn/refs/heads/main/images/market_deck/RationDePain_front.jpeg
Sceau Du Comite,1,SceauDuComite,https://raw.githubusercontent.com/emazarico/LAnUn/refs/heads/main/images/market_deck/SceauDuComite_front.jpeg
Vins Et Spiritueux,3,VinsEtSpiritueux,https://raw.githubusercontent.com/emazarico/LAnUn/refs/heads/main/images/market_deck/VinsEtSpiritueux_front.jpeg
